Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0.0,0.0,0.0,0.0,0.0,,,0.0,
C/C(=C/C(=O)O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C(=C1/SC(=N)NC1=O)c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,,0.0,0.0,,0.0,,,0.0,
C/C(=C\C#N)n1nc(C)cc1N,,,0.0,,,0.0,0.0,,
C/C(=C\C=C\[C@@H](C)c1ccccn1)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)N2CCN(C)CC2)/C=C/[C@@H]1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C(=C\CNc1ncnc2[nH]cnc12)CO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1,0.0,0.0,0.0,,,,,0.0,
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,0.0,,,,,,0.0,
C/C(=C\c1ccc(C(=O)O)s1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,0.0,,,,,,,
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C(=N\NC(=O)C(O)(c1ccccc1)c1ccccc1)c1ccc(NC(=O)CCCC(=O)O)cc1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C/C(=N\NC(=O)Cn1ccc(C(F)(F)F)n1)c1ccco1,,0.0,0.0,,0.0,,,0.0,
C/C(=N\NC(=O)Cn1nc(C)c([N+](=O)[O-])c1C)c1ccc(O)cc1,,0.0,0.0,,0.0,,,0.0,
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1)c1cc(Cl)ccc1O,0.0,0.0,0.0,,,,,0.0,
C/C(=N\O)[C@@H](C)NCC(C)(C)CN[C@H](C)/C(C)=N/O,,0.0,,0.0,0.0,0.0,,0.0,
C/C(=N\O)c1ncc([C@@H](O)[C@H](O)[C@H](O)CO)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/C(=N\n1c(C)cc(C)c(C#N)c1=O)c1cccs1,,,,,,,,0.0,
C/C(CCc1ccccc1)=N\NC(=O)CC(=O)NCCc1ccccc1,,0.0,0.0,,0.0,,,0.0,
C/C(N)=C(/C#N)C(=O)COC(=O)C1CSC2(c3ccc(F)cc3)CCC(=O)N12,0.0,0.0,0.0,,,,,0.0,
C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2n1CC(C)C,,0.0,0.0,,0.0,,,0.0,
C/C(N)=N\CCC[C@H](NC(=O)c1ccccc1)C(N)=O,,0.0,0.0,,0.0,,,0.0,
C/C(N)=N\CC[C@H](F)C[C@H](N)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1,,0.0,0.0,,,,,0.0,
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,,0.0,,,,,,0.0,
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,,0.0,0.0,,,,,,
C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C1=C/C[C@@H](/C(C)=C/c2cc(C)on2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C/C=C(/C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)C2(C)CC2)C3)c1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
