smile1,smile2,cid1,cid2,morgan,maccs,rdkit,atompairs,torsion
Cc1cccc(NC(=O)CN(C)C(=O)c2ccc(N3CCCC3)c([N+](=O)[O-])c2)c1C,CCOC(=O)Nc1ccc(NCc2cc3ccccc3s2)cc1Cl,9431806,9975821,0.889763779527559,0.6666666666666667,0.6976744186046512,0.7836990595611285,0.8275862068965517
COc1ccc(C(C[NH2+]C2CC3CC=CC32)[NH+](C)C)cc1OC,O=C(NCC(c1ccsc1)N1CCCCC1)C(=O)Nc1ccc(C(F)(F)F)cc1,11936624,16932189,0.8947368421052632,0.6216216216216216,0.6580459770114943,0.794425087108014,0.9010989010989011
Cc1ccc(NC(=O)CSc2ncc(-c3ccc(Cl)cc3)[nH]2)cc1C,CN(C)C=NS(=O)(=O)CC(C)(C)COc1nn2ncnc2cc1NC(=O)OC(C)(C)C,1118768,10503950,0.875,0.6458333333333333,0.7532368621477532,0.8179271708683473,0.9438202247191011
COCCn1nc(C)c2cnn(-c3ccc(F)cc3)c2c1=O,CCc1c(N)cccc1O,16846379,17805824,0.922077922077922,0.7534246575342466,0.8965231788079471,0.9386503067484663,0.9838709677419355
CCCC(CCC)c1nn[nH]n1,CCCOc1ccc(C(=O)OCc2cc(=O)n3cc(Br)ccc3n2)cc1OC,3069938,4787099,0.9347826086956522,0.7397260273972603,0.9153225806451613,0.9662447257383966,1.0
NC(=O)COc1ccc(C=C2NC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1,C#CCNC(=O)C1OC(OC)C(O)C(O)C1O,4982710,16744773,0.9230769230769232,0.6081081081081081,0.766721044045677,0.9727891156462585,1.0
O=C(Nc1cccc(Cl)c1)c1ccc(COc2ccccc2[N+](=O)[O-])o1,CCCOC(=O)CSc1nnc(-c2ccccc2)s1,4157336,19205060,0.8828828828828829,0.7341772151898734,0.8292237442922374,0.8473282442748091,0.9
CC(CN1CCCC1)OC(=O)c1ccccc1Br,CCOc1ccc(-n2c(SCC(=O)NN=Cc3ccc(C(C)C)cc3)nnc2-c2cccnc2)cc1,755721,4469195,0.8677685950413223,0.654320987654321,0.8287292817679558,0.908284023668639,0.9789473684210527
COC(=O)C1=C(C)N(c2ccc(Cl)cc2)C(=Cc2cc(C)n(-c3ccc(Cl)cc3Cl)c2C)C1=O,CN1CCc2c(sc(NC(=O)c3nc4ccccc4s3)c2C(N)=O)C1,1968299,3602606,0.8984375,0.6025641025641026,0.4878706199460916,0.8394648829431438,0.952755905511811
CCOC(=O)NCCCBr,COc1cccc(CSc2nnc(CNc3ccc(I)cc3)n2-c2ccccc2)c1,313561,17337376,0.9381443298969072,0.7746478873239436,0.9533678756476685,0.958139534883721,1.0
NC(N)=NS(=O)(=O)c1ccc(N=Cc2cc(Br)cc(Br)c2O)cc1,COc1ccccc1C1CC(=O)C2=C(C1)Nc1ccccc1NC2c1cc(OC)c(O)c(OC)c1,4572847,17061305,0.9217391304347826,0.7241379310344828,0.7366013071895425,0.8637992831541219,0.9298245614035088
Nc1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-],CCCCN1C(=O)C2C(C(C)O)NC3(C(=O)Nc4c(C)cc(C)cc43)C2C1=O,21484,4971798,0.931818181818182,0.72,0.842925659472422,0.944206008583691,0.935483870967742
CCCCOc1ccc(C=c2sc3nc(=O)c(Cc4ccc(F)cc4)nn3c2=O)cc1OCC,Nc1nc(SCc2nccn2C(F)F)nc2sc3c(c12)CCCC3,2017059,17445624,0.9,0.5487804878048781,0.5539988324576766,0.8418079096045198,0.9658119658119658
O=C(O)C(=Cc1ccc(-c2ccccc2Cl)s1)NC(=O)c1ccccc1,COc1cc(N)c(Br)cc1C(=O)N(C)C1CCN(C(C)c2ccccc2)CC1,6480676,15572464,0.8849557522123894,0.6986301369863014,0.6899841017488076,0.8873720136518771,0.8817204301075269
N=C1C(=Cc2ccc(OCc3ccccc3)cc2)C(=O)N=C2SC(c3ccc4c(c3)OCO4)=NN12,C=CCC1(CC=C)C(=O)CCCC1=O,3842307,11008759,0.926605504587156,0.8513513513513513,0.9125448028673836,0.9692307692307692,1.0
C[n+]1ccno1,COc1cc(C=C2C(=O)NC(=O)N(c3ccccc3)C2=O)cc(I)c1OC(C)C,13001669,19579559,0.975609756097561,0.7681159420289855,0.9714022140221402,0.9884393063583815,1.0
N#CSc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,CCC(C=O)CC#N,2986173,10176115,0.9305555555555556,0.9148936170212766,0.9775280898876404,0.9805194805194806,1.0
CCC(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)N2CCOCC2)c1,CN1CCc2cc(Cl)c(N)c(N)c2C2c3ccccc3CCC21,3258901,11198214,0.9189189189189187,0.651685393258427,0.7085137085137085,0.8043478260869565,0.9702970297029703
NC(=O)C1CCN(C(=O)CS(=O)(=O)c2ccccc2)CC1,Cc1nc(-c2ccccc2)ccc1C(=O)N1CCN(c2ncccn2)CC1,17312294,17449894,0.8478260869565217,0.5714285714285714,0.8185085354896675,0.7871287128712872,0.85
